noun,score_by_females,sd_by_females,score_by_males,sd_by_males,is_occupation,frequency
karaoke singer,3.6,1.19,3.9,0.64,False,-8.67471532760277
kid,4.05,0.22,4.25,0.64,False,-4.708283999056608
killer,5.55,1.15,5.85,0.99,False,-5.040050744680854
kindergarten teacher,1.95,0.69,2.4,0.82,True,-6.906579430449075
knitter,1.85,0.67,1.8,0.83,True,-7.169808880605126
lab technician,4.68,0.82,4.35,0.88,True,-7.179382554605713
labor official,5.15,1.04,5.3,1.03,True,-8.356647079699242
landscaper,5.1,0.85,4.65,1.42,True,-7.1365816182138415
law clerk,3.7,1.38,4.45,1.23,True,-6.755693050793951
law professor,4.5,0.83,4.85,1.42,True,-6.523656155759755
lawyer,4.2,0.62,4.65,0.93,True,-4.654828449988301
leader,4.3,0.86,5.05,1.23,True,-4.333168159361343
lender,4.6,0.94,4.95,0.94,True,-5.312738363135693
librarian,2.45,1.0,2.2,1.06,True,-5.567577855704747
lieutenant,5.45,0.89,5.15,1.04,True,-5.232944481442674
limo driver,5.7,0.86,6.15,0.88,True,-7.270118115135106
logger,5.7,0.92,6.15,1.09,True,-6.428315039667409
magician,5.65,1.09,5.85,0.93,True,-5.711957969858815
magician’s assistant,1.85,0.88,2.0,1.26,True,-8.06912665608901
maid,1.4,0.68,1.3,0.57,True,-5.136264894542809
mailman,5.7,1.08,5.1,1.37,True,-6.632006330205286
manager,4.3,0.8,5.15,0.99,True,-4.444787762855979
manicurist,1.8,0.89,1.3,0.57,True,-7.195308343022761
massage therapist,3.2,1.15,2.65,0.88,True,-6.929915036564621
mathematician,4.75,1.02,4.9,1.37,True,-5.697452045632471
mayor,5.0,1.12,5.6,1.27,True,-5.111130765577106
meat packer,5.85,1.14,5.4,1.05,True,-8.037461755918715
meteorologist,5.35,0.88,4.95,1.15,True,-6.724821601404544
millionaire,4.6,1.76,5.85,0.93,False,-5.889284333753087
miner,6.1,0.79,6.1,1.02,True,-5.813763874983472
motel manager,4.55,0.69,4.7,1.13,True,-7.845028828038787
mother,1.05,0.22,1.0,0.0,False,-3.7408410555405
mountain climber,5.25,0.91,5.7,0.92,True,-7.254196961852921
movie director,5.1,1.12,5.1,1.21,True,-7.214841265734965
movie star,3.75,0.79,3.89,0.81,True,-6.187779378209783
murderer,5.15,0.99,5.45,1.15,False,-5.339594722455442
nanny,1.55,0.6,1.5,0.61,True,-5.86390711358282
neighbor,3.95,0.22,3.95,0.76,False,-4.959643831466014
neurologist,4.85,0.81,5.0,1.21,True,-6.177906526451976
neurosurgeon,4.4,1.27,5.35,1.18,True,-6.5254210891157145
newscaster,3.7,0.73,3.9,0.45,True,-6.757726559086959
notary public,3.5,0.76,3.42,1.02,True,-6.662978598230979
novelist,3.75,1.07,3.65,0.75,True,-5.4349421703969085
nun,1.05,0.22,1.1,0.31,True,-5.549629931748538
nurse,2.3,0.92,2.35,0.99,True,-4.62572969081808
nursing home worker,2.45,1.19,2.55,1.0,True,-9.249135663419892
nutritionist,2.55,0.94,3.0,1.17,True,-6.540101722463514
occupational therapist,3.55,1.15,3.45,1.05,True,-6.565132896364002
oceanographer,4.1,1.33,3.9,1.12,True,-7.268133932288683
orchestra conductor,5.2,1.06,5.6,0.82,True,-7.493853686096476
orthodontist,5.4,0.94,5.65,1.04,True,-6.955159597739837
painter,5.05,1.19,5.25,1.12,True,-5.1760816721907394
palm reader,2.1,0.97,2.2,1.06,True,-7.714443024379152
parachutist,5.4,0.94,5.05,1.23,True,-7.168429539750765
paralegal,3.75,1.21,3.75,1.12,True,-6.219047802689191
parent,3.9,0.45,3.9,0.55,False,-4.426131016847402
park manager,5.6,0.99,5.25,1.21,True,-7.833185153574931
party planner,2.55,1.1,3.05,1.23,True,-7.663255242714843
pastry chef,4.05,1.15,4.35,1.27,True,-7.004259800142228
patient,4.0,0.56,4.15,0.88,False,-3.950984683738487
pawn broker,5.8,1.11,5.9,1.02,True,-8.382453916324767
pediatrician,3.85,1.18,4.1,1.45,True,-6.113868918630778
person,4.0,0.0,4.1,0.45,False,-3.576942620901325
personal trainer,4.7,1.17,4.8,1.36,True,-6.707118321429023
pharmacist,4.45,1.05,4.65,1.27,True,-5.761364974097784
philanthropist,4.5,0.83,4.1,1.07,True,-6.245106068799464
phlebotomist,4.3,0.98,3.9,0.55,True,-7.224071443025807
photographer,4.0,0.79,3.8,0.52,True,-5.307621814594327
physical therapist,3.7,0.8,4.05,1.23,True,-6.322279515375098
physician,4.35,0.67,5.2,1.01,True,-4.664460817433933
physician’s assistant,3.0,0.97,3.0,0.92,True,-7.262002527875463
physicist,4.9,0.97,4.6,1.1,True,-5.668362540030828
piano player,3.15,1.27,3.5,1.32,True,-6.769556574297695
pilot,5.9,1.07,5.5,1.1,True,-4.709723257634501
plumber,6.05,0.76,6.2,0.77,True,-6.1610817969064025
podiatrist,4.7,0.8,4.1,0.55,True,-6.90938723083039
poet,3.9,0.79,3.9,0.85,True,-4.680472694312118
police dispatcher,3.75,1.29,3.5,1.36,True,-7.652537480151348
police officer,5.55,1.0,5.45,1.05,True,-5.417225819288473
police sergeant,5.75,1.02,5.9,1.07,True,-6.994269265601266
policeman,5.6,1.1,5.55,1.23,True,-5.334802464373924
political activist,4.74,0.93,4.15,0.88,True,-6.66352700432028
politician,5.1,1.07,5.8,0.93,True,-5.282963475751159
pool player,5.25,0.72,5.5,1.15,True,-7.79707487152081
postal worker,4.9,1.12,4.75,0.97,True,-7.238716095230317
priest,6.8,0.41,6.45,0.76,True,-4.692592429015358
prisoner,5.15,1.04,5.5,1.28,False,-4.906612255103104
private detective,5.95,0.83,6.05,0.76,True,-6.526833166557949
probation officer,5.55,1.15,5.9,0.91,True,-6.275677931519029
professional athlete,5.2,1.2,5.9,1.07,True,-7.008408154555921
professor,4.6,0.94,5.1,1.21,True,-4.746507519576421
projectionist,4.5,0.83,4.0,0.67,True,-7.08836516550106
proofreader,3.5,1.28,3.2,1.32,True,-6.971134593943352
